	ERR178926	ERR178929	SRR1566386	SRR2566901	SRR3664651	SRR3665129
ERR178926	0	2928	57	78	89	72
ERR178929	2928	0	2928	2957	2961	2949
SRR1566386	57	2928	0	82	85	70
SRR2566901	78	2957	82	0	114	20
SRR3664651	89	2961	85	114	0	101
SRR3665129	72	2949	70	20	101	0
