Seq1	Seq2	Distance
ERR178926	ERR178926	0
ERR178926	ERR178929	2449
ERR178926	SRR1566386	51
ERR178926	SRR2566901	63
ERR178926	SRR3664651	60
ERR178926	SRR3665129	56
ERR178929	ERR178926	2449
ERR178929	ERR178929	0
ERR178929	SRR1566386	2455
ERR178929	SRR2566901	2464
ERR178929	SRR3664651	2462
ERR178929	SRR3665129	2457
SRR1566386	ERR178926	51
SRR1566386	ERR178929	2455
SRR1566386	SRR1566386	0
SRR1566386	SRR2566901	64
SRR1566386	SRR3664651	64
SRR1566386	SRR3665129	56
SRR2566901	ERR178926	63
SRR2566901	ERR178929	2464
SRR2566901	SRR1566386	64
SRR2566901	SRR2566901	0
SRR2566901	SRR3664651	75
SRR2566901	SRR3665129	16
SRR3664651	ERR178926	60
SRR3664651	ERR178929	2462
SRR3664651	SRR1566386	64
SRR3664651	SRR2566901	75
SRR3664651	SRR3664651	0
SRR3664651	SRR3665129	67
SRR3665129	ERR178926	56
SRR3665129	ERR178929	2457
SRR3665129	SRR1566386	56
SRR3665129	SRR2566901	16
SRR3665129	SRR3664651	67
SRR3665129	SRR3665129	0
