	SRR1553725	SRR1553739	SRR1553740	SRR1553750	SRR1553756	SRR1553764	SRR1553773	SRR1553774	SRR1553779	SRR1553784	SRR1553788	SRR1553791	SRR1553792	SRR1553796	SRR1553797	SRR1553798	SRR1553804	SRR1553816	SRR1553820	SRR1553821	SRR1553826	SRR1553827	SRR1553840	SRR1553850	SRR1553851	SRR1553855	SRR1553856	SRR1553866	SRR1553867	SRR1553871	SRR1553882	SRR1553906	SRR1553907	SRR1554256	SRR1554259	SRR1556285	SRR1556286	SRR1556287	SRR1556288	SRR1556289	SRR1556290	SRR1556291	SRR1556292	SRR1556293	SRR1556294	SRR1556295	SRR1556296	SRR1556297
SRR1553725	0	1009	1010	1008	1010	1014	1010	1011	1015	0	1010	1008	1010	0	1010	1015	1011	1014	1009	1010	1010	1009	1014	3	1007	1015	1010	1008	1015	4	1013	1008	1014	1007	1010	1006	4	0	1008	1016	1007	1009	1005	1012	1012	1012	1014	1012
SRR1553739	1009	0	5	1	5	15	5	6	15	1007	6	5	5	1008	5	15	6	15	5	5	5	5	16	1011	1	16	5	1	15	1006	8	2	15	1	7	1	1006	1009	1	16	1	2	1	7	7	7	16	7
SRR1553740	1010	5	0	4	0	16	0	1	16	1008	1	0	0	1009	0	16	1	16	0	0	0	0	17	1012	4	17	0	4	16	1007	3	5	16	4	2	4	1007	1010	4	17	4	5	4	2	2	2	17	2
SRR1553750	1008	1	4	0	4	14	4	5	14	1006	5	4	4	1007	4	14	5	14	4	4	4	4	15	1010	0	15	4	0	14	1005	7	1	14	0	6	0	1005	1008	0	15	0	1	0	6	6	6	15	6
SRR1553756	1010	5	0	4	0	16	0	1	16	1008	1	0	0	1009	0	16	1	16	0	0	0	0	17	1012	4	17	0	4	16	1007	3	5	16	4	2	4	1007	1010	4	17	4	5	4	2	2	2	17	2
SRR1553764	1014	15	16	14	16	0	16	17	0	1013	17	16	16	1013	16	0	17	0	16	16	16	16	1	1016	14	1	16	14	0	1012	19	15	0	14	18	14	1011	1014	14	1	14	15	14	18	18	18	1	18
SRR1553773	1010	5	0	4	0	16	0	1	16	1008	1	0	0	1009	0	16	1	16	0	0	0	0	17	1012	4	17	0	4	16	1007	3	5	16	4	2	4	1007	1010	4	17	4	5	4	2	2	2	17	2
SRR1553774	1011	6	1	5	1	17	1	0	17	1009	0	1	1	1010	1	17	2	17	1	1	1	1	18	1013	5	18	1	5	17	1008	4	6	17	5	3	5	1008	1011	5	18	5	6	5	3	3	3	18	3
SRR1553779	1015	15	16	14	16	0	16	17	0	1013	17	16	16	1014	16	0	17	0	16	16	16	16	1	1017	14	1	16	14	0	1012	19	15	0	14	18	14	1012	1015	14	1	14	15	14	18	18	18	1	18
SRR1553784	0	1007	1008	1006	1008	1013	1008	1009	1013	0	1008	1007	1008	0	1008	1013	1009	1012	1007	1008	1008	1008	1013	3	1005	1013	1008	1006	1013	4	1011	1007	1013	1005	1009	1005	4	0	1006	1014	1006	1007	1004	1010	1010	1010	1013	1010
