Seq1	Seq2	Distance
SRR1553725	SRR1553725	0
SRR1553725	SRR1553739	11423
SRR1553725	SRR1553740	11425
SRR1553725	SRR1553750	11422
SRR1553725	SRR1553756	11425
SRR1553725	SRR1553764	11430
SRR1553725	SRR1553773	11425
SRR1553725	SRR1553774	11425
SRR1553725	SRR1553779	11430
SRR1553725	SRR1553784	8
SRR1553725	SRR1553788	11427
SRR1553725	SRR1553791	11425
SRR1553725	SRR1553792	11425
SRR1553725	SRR1553796	2
SRR1553725	SRR1553797	11426
SRR1553725	SRR1553798	11430
SRR1553725	SRR1553804	11426
SRR1553725	SRR1553816	11430
SRR1553725	SRR1553820	11425
SRR1553725	SRR1553821	11425
SRR1553725	SRR1553826	11425
SRR1553725	SRR1553827	11425
SRR1553725	SRR1553840	11431
SRR1553725	SRR1553850	7
SRR1553725	SRR1553851	11422
SRR1553725	SRR1553855	11431
SRR1553725	SRR1553856	11425
SRR1553725	SRR1553866	11422
SRR1553725	SRR1553867	11430
SRR1553725	SRR1553871	15
SRR1553725	SRR1553882	11428
SRR1553725	SRR1553906	11423
SRR1553725	SRR1553907	11430
SRR1553725	SRR1554256	11422
SRR1553725	SRR1554259	11428
SRR1553725	SRR1556285	11421
SRR1553725	SRR1556286	18
SRR1553725	SRR1556287	11
SRR1553725	SRR1556288	11423
SRR1553725	SRR1556289	11429
SRR1553725	SRR1556290	11422
SRR1553725	SRR1556291	11423
SRR1553725	SRR1556292	11417
SRR1553725	SRR1556293	11427
SRR1553725	SRR1556294	11427
SRR1553725	SRR1556295	11427
SRR1553725	SRR1556296	11431
SRR1553725	SRR1556297	11426
SRR1553739	SRR1553725	11423
SRR1553739	SRR1553739	0
SRR1553739	SRR1553740	8
SRR1553739	SRR1553750	1
SRR1553739	SRR1553756	8
SRR1553739	SRR1553764	41
SRR1553739	SRR1553773	8
SRR1553739	SRR1553774	9
SRR1553739	SRR1553779	41
SRR1553739	SRR1553784	11394
SRR1553739	SRR1553788	10
SRR1553739	SRR1553791	8
SRR1553739	SRR1553792	8
SRR1553739	SRR1553796	11422
SRR1553739	SRR1553797	9
SRR1553739	SRR1553798	41
SRR1553739	SRR1553804	9
SRR1553739	SRR1553816	41
SRR1553739	SRR1553820	8
SRR1553739	SRR1553821	8
SRR1553739	SRR1553826	8
SRR1553739	SRR1553827	8
SRR1553739	SRR1553840	42
SRR1553739	SRR1553850	11424
SRR1553739	SRR1553851	1
SRR1553739	SRR1553855	42
SRR1553739	SRR1553856	8
SRR1553739	SRR1553866	1
SRR1553739	SRR1553867	41
SRR1553739	SRR1553871	11420
SRR1553739	SRR1553882	11
SRR1553739	SRR1553906	2
SRR1553739	SRR1553907	41
SRR1553739	SRR1554256	1
SRR1553739	SRR1554259	12
SRR1553739	SRR1556285	1
SRR1553739	SRR1556286	11396
SRR1553739	SRR1556287	11405
SRR1553739	SRR1556288	2
SRR1553739	SRR1556289	42
SRR1553739	SRR1556290	1
SRR1553739	SRR1556291	2
SRR1553739	SRR1556292	1
SRR1553739	SRR1556293	10
SRR1553739	SRR1556294	10
SRR1553739	SRR1556295	10
SRR1553739	SRR1556296	42
